Date	Massa|22_Q simulé	Massa_Debit cleaned 1982-2025-09	Massa|69_i	Massa|69_T	Massa|69_RG	Massa|70_h	Massa|71_h	Massa|71_A	Massa|72_h	Massa|73_Q	Massa|73_QNeige	Massa|73_QGlace	Massa|73_H	Massa|73_A	DayOfYearSinus	HourOfDaySinus
2022-03-14T20:00:00.0000000	NaN	0.44849998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.25
2022-03-14T21:00:00.0000000	NaN	0.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.14644662
2022-03-14T22:00:00.0000000	NaN	0.44550002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.0669873
2022-03-14T23:00:00.0000000	NaN	0.44550002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.017037086
2022-03-15T00:00:00.0000000	NaN	0.44550002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0
2022-03-15T01:00:00.0000000	NaN	0.444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.017037086
2022-03-15T02:00:00.0000000	NaN	0.4425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.0669873
2022-03-15T03:00:00.0000000	NaN	0.444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.14644662
2022-03-15T04:00:00.0000000	NaN	0.4515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.25
2022-03-15T05:00:00.0000000	NaN	0.456	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.37059048
2022-03-15T06:00:00.0000000	NaN	0.458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.5
2022-03-15T07:00:00.0000000	NaN	0.45450002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.62940955
2022-03-15T08:00:00.0000000	NaN	0.4675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.75
2022-03-15T09:00:00.0000000	NaN	0.478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.8535534
2022-03-15T10:00:00.0000000	NaN	0.4835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.9330127
2022-03-15T11:00:00.0000000	NaN	0.491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.9829629
2022-03-15T12:00:00.0000000	NaN	0.491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	1
2022-03-15T13:00:00.0000000	NaN	0.498	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.9829629
2022-03-15T14:00:00.0000000	NaN	0.5025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.9330127
2022-03-15T15:00:00.0000000	NaN	0.50600004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.8535534
2022-03-15T16:00:00.0000000	NaN	0.50600004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.75
2022-03-15T17:00:00.0000000	NaN	0.50600004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.62940955
2022-03-15T18:00:00.0000000	NaN	0.5115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.5
2022-03-15T19:00:00.0000000	NaN	0.5095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.37059048
2022-03-15T20:00:00.0000000	NaN	0.49949998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.25
2022-03-15T21:00:00.0000000	NaN	0.501	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.14644662
2022-03-15T22:00:00.0000000	NaN	0.49650002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.0669873
2022-03-15T23:00:00.0000000	NaN	0.475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35369983	0.017037086
2022-03-16T00:00:00.0000000	NaN	0.475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0
2022-03-16T01:00:00.0000000	NaN	0.46899998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.017037086
2022-03-16T02:00:00.0000000	NaN	0.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.0669873
2022-03-16T03:00:00.0000000	NaN	0.4675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.14644662
2022-03-16T04:00:00.0000000	NaN	0.4645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.25
2022-03-16T05:00:00.0000000	NaN	0.4675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.37059048
2022-03-16T06:00:00.0000000	NaN	0.466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.5
2022-03-16T07:00:00.0000000	NaN	0.4645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.62940955
2022-03-16T08:00:00.0000000	NaN	0.4705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.75
2022-03-16T09:00:00.0000000	NaN	0.4705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.8535534
2022-03-16T10:00:00.0000000	NaN	0.466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.9330127
2022-03-16T11:00:00.0000000	NaN	0.46600002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.9829629
2022-03-16T12:00:00.0000000	NaN	0.4705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	1
2022-03-16T13:00:00.0000000	NaN	0.47649997	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.9829629
2022-03-16T14:00:00.0000000	NaN	0.4835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.9330127
2022-03-16T15:00:00.0000000	NaN	0.50600004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.8535534
2022-03-16T16:00:00.0000000	NaN	0.523	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.75
2022-03-16T17:00:00.0000000	NaN	0.5365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.62940955
2022-03-16T18:00:00.0000000	NaN	0.5595	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.5
2022-03-16T19:00:00.0000000	NaN	0.5365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.37059048
2022-03-16T20:00:00.0000000	NaN	0.5385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.25
2022-03-16T21:00:00.0000000	NaN	0.55050004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.14644662
2022-03-16T22:00:00.0000000	NaN	0.5315	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.0669873
2022-03-16T23:00:00.0000000	NaN	0.521	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3619515	0.017037086
2022-03-17T00:00:00.0000000	NaN	0.5075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.37024412	0
